iter	Logloss	Accuracy
224	0.4543884588	0.8075388749
225	0.4538512423	0.8076202882
226	0.4532094241	0.8086786616
227	0.4527413049	0.8090043149
228	0.4523046487	0.8088414882
229	0.4517968496	0.8094113816
230	0.4512139372	0.8106325816
231	0.4508425994	0.810958235
232	0.4503303837	0.8120166083
233	0.4497608961	0.8122608483
234	0.4492479684	0.8125865017
235	0.4486186851	0.8127493283
236	0.4480619055	0.8127493283
237	0.4475706862	0.8130749817
238	0.4469863499	0.8147032484
239	0.4465383381	0.8142147684
240	0.4459535004	0.8149474884
241	0.4453854671	0.8146218351
242	0.4447838178	0.8164943418
243	0.4443557829	0.8171456485
244	0.4440844931	0.8173898885
245	0.4433823497	0.8189367418
246	0.4428110056	0.8186925018
247	0.4424158754	0.8193438085
248	0.4418776105	0.8201579419
249	0.4413760483	0.8207278352
250	0.4411383716	0.8212977286
251	0.4407359261	0.8222746886
252	0.4402217225	0.8220304486
253	0.4398161047	0.8226003419
254	0.4394561045	0.8231702353
255	0.4388981948	0.8230074086
256	0.4384785832	0.8232516486
257	0.4380723266	0.823577302
258	0.437556389	0.824310022
259	0.4370376682	0.825042742
260	0.4364939948	0.8251241553
261	0.4360251424	0.825775462
262	0.4356139496	0.8259382887
263	0.4351014092	0.8258568754
264	0.4347821162	0.826019702
265	0.4342131616	0.826508182
266	0.4338184909	0.8273223154
267	0.4333790137	0.8278107954
268	0.4332298516	0.8278922087
269	0.4327416369	0.8289505821
270	0.4323219092	0.8296018888
271	0.4318981505	0.8294390621
272	0.4312985154	0.8297647155
273	0.4306996182	0.8303346088
274	0.4300406133	0.8314743955
275	0.4296018009	0.8318814622
276	0.4291449145	0.8320442889
277	0.4287391838	0.8334283156
278	0.4282687533	0.8335097289
279	0.4279393609	0.8343238622
280	0.4274731261	0.8353008223
281	0.4269198352	0.8356264756
282	0.4265857456	0.8355450623
283	0.4261241066	0.8355450623
284	0.4257282617	0.8358707156
285	0.4252722731	0.835707889
286	0.424846436	0.8367662623
287	0.4242576769	0.8367662623
288	0.4237044894	0.837173329
289	0.4232112711	0.838394529
290	0.4227987304	0.8389644224
291	0.422447958	0.8392086624
292	0.4219938887	0.8395343157
293	0.4214651086	0.8394529024
294	0.421129843	0.8399413824
295	0.4206214099	0.8404298624
296	0.4202117063	0.8401856224
297	0.4197844742	0.8414068224
298	0.4192938358	0.8424651958
299	0.4188516029	0.8431165025
300	0.4186937991	0.8432793292
301	0.4183866602	0.8431979158
302	0.4179042791	0.8433607425
303	0.4175803448	0.8445819425
304	0.4173601528	0.8449075959
305	0.4168389134	0.8452332492
306	0.4163356864	0.8461287959
